id,source_line,section,kind,source_text,code_locations,test_locations,criterion,implementation_linked,real_acceptance,evidence,acceptance_note
Q2F-L0001-S1,1,2.1,markup,# 问题二：基于不对称补购损失与参数化非前瞻补救策略的滚动随机购电模型,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0003-S1,3,2.1,markup,## 2.1 问题分析与建模主线,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0005-S1,5,2.1,sentence,问题二要求微网在每天 0:00 制定当日计划购电策略，而当天真实小区负荷与光伏发电功率在决策时尚未实现；,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0005-S2,5,2.1,sentence,若微网在实际运行时对小区负荷的供能不足，则不足部分需按交易时刻电价的 5 倍向外网紧急购电。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0005-S3,5,2.1,sentence,因此，与问题一相比，本问的核心变化不是储能物理边界发生改变，而是**日前决策必须在负荷与光伏尚未实现时作出，并为实际运行中的供需偏差预留补救机制**。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0007-S1,7,2.1,sentence,从决策时序看，本问具有清晰的“日前决策—随机实现—运行补救”两阶段**经济决策结构**。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0007-S2,7,2.1,sentence,第一阶段在每天 0:00、尚未观察到当天真实负荷与光伏之前，确定全天计划购电量及储能响应上限参数；,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0007-S3,7,2.1,sentence,第二阶段随着实际负荷与光伏逐时实现，在第一阶段参数不变的前提下，按照预先规定的非前瞻策略执行储能充放电，并在仍存在负荷缺口时进行紧急购电。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0007-S4,7,2.1,sentence,需要特别说明：这里的“两阶段”用于描述信息到达顺序和经济决策层次，并不把第二阶段定义为“完整场景揭示后再次自由优化”的标准二阶段 recourse。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0007-S5,7,2.1,sentence,数学上，本文优化的是**参数化非前瞻补救策略约束下的滚动随机期望成本问题**。,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0007-S6,7,2.1,sentence,因此，将问题二的主模型定位为,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0009-S1,9,2.1,markup,$$,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0010-S1,10,2.1,formula_line,\boxed{,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0011-S1,11,2.1,formula_line,\text{基于不对称补购损失与参数化非前瞻补救策略的滚动随机购电模型}.,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0012-S1,12,2.1,formula_line,},src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0013-S1,13,2.1,markup,$$,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0015-S1,15,2.1,sentence,其决策顺序可表示为,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0017-S1,17,2.1,markup,$$,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0018-S1,18,2.1,formula_line,\boxed{,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0019-S1,19,2.1,formula_line,\underbrace{\text{0:00 日前计划}}_{\text{第一阶段}},src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0020-S1,20,2.1,formula_line,\rightarrow,src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
Q2F-L0021-S1,21,2.1,formula_line,\underbrace{\text{负荷/光伏随机实现}}_{\text{不确定性}},src/q2/rolling.py:215#run_rollout;src/q2/policy.py:39#respond;src/q2/optimization.py:19#build_model,src/q2/test_dispatch.py:14#test_load_priority_and_soc_clipping,main,True,False,processed/main/run_status.json;processed/main/dispatch.csv,主回放已完成73/334日；计算受限34日
