horizon,nominal,month,covered_intervals,n,picp
0,0.80000000000000004,2,3175,4032,0.78745039682539686
0,0.80000000000000004,3,3425,4464,0.76724910394265233
0,0.80000000000000004,4,1554,2016,0.77083333333333337
0,0.90000000000000002,2,3475,4032,0.86185515873015872
0,0.90000000000000002,3,3744,4464,0.83870967741935487
0,0.90000000000000002,4,1700,2016,0.84325396825396826
1,0.80000000000000004,2,3137,4032,0.77802579365079361
1,0.80000000000000004,3,1730,2304,0.75086805555555558
1,0.80000000000000004,4,1008,1296,0.77777777777777779
1,0.90000000000000002,2,3452,4032,0.85615079365079361
1,0.90000000000000002,3,1904,2304,0.82638888888888884
1,0.90000000000000002,4,1097,1296,0.84645061728395066
2,0.80000000000000004,2,339,432,0.78472222222222221
2,0.80000000000000004,3,565,720,0.78472222222222221
2,0.80000000000000004,4,439,576,0.76215277777777779
2,0.90000000000000002,2,371,432,0.85879629629629628
2,0.90000000000000002,3,608,720,0.84444444444444444
2,0.90000000000000002,4,476,576,0.82638888888888884
