slot,price_yuan_per_kwh
1,0.42480000000000001
2,0.42449999999999999
3,0.4269
4,0.42720000000000002
5,0.42709999999999998
6,0.42849999999999999
7,0.43109999999999998
8,0.43020000000000003
9,0.4279
10,0.43120000000000003
11,0.43330000000000002
12,0.43109999999999998
13,0.42930000000000001
14,0.43240000000000001
15,0.43669999999999998
16,0.43480000000000002
17,0.4335
18,0.43569999999999998
19,0.43740000000000001
20,0.43709999999999999
21,0.43559999999999999
22,0.43530000000000002
23,0.436
24,0.43780000000000002
25,0.44009999999999999
26,0.43890000000000001
27,0.43640000000000001
28,0.43930000000000002
29,0.44219999999999998
30,0.4395
31,0.43330000000000002
32,0.44390000000000002
33,0.43009999999999998
34,0.37130000000000002
35,0.57079999999999997
36,0.90990000000000004
37,0.93679999999999997
38,0.87580000000000002
39,0.87590000000000001
40,0.86009999999999998
41,0.84419999999999995
42,0.83340000000000003
43,0.80920000000000003
44,0.79720000000000002
45,0.76439999999999997
46,0.68989999999999996
47,0.85999999999999999
48,1.1617
49,1.1682999999999999
50,1.0955999999999999
51,1.0849
52,1.0609999999999999
53,1.0429999999999999
54,1.036
55,1.0146999999999999
56,0.99219999999999997
57,0.96999999999999997
58,0.94220000000000004
59,0.95689999999999997
60,0.99770000000000003
61,0.9919
62,0.95879999999999999
63,0.95489999999999997
64,0.9839
65,0.79900000000000004
66,0.50249999999999995
67,0.4662
68,0.50070000000000003
69,0.48270000000000002
70,0.47849999999999998
71,0.4662
72,0.44319999999999998
73,0.44109999999999999
74,0.4551
75,0.44629999999999997
76,0.4113
77,0.56820000000000004
78,0.82789999999999997
79,0.86360000000000003
80,0.84160000000000001
81,0.86180000000000001
82,0.86229999999999996
83,0.90259999999999996
84,0.97540000000000004
85,1.0002
86,0.99780000000000002
87,1.0270999999999999
88,1.0906
89,0.93759999999999999
90,0.6694
91,0.66000000000000003
92,0.72170000000000001
93,0.73080000000000001
94,0.75339999999999996
95,0.7823
96,0.80549999999999999
97,0.82709999999999995
98,0.85189999999999999
99,0.87909999999999999
100,0.90239999999999998
101,0.9163
102,0.9264
103,0.94620000000000004
104,0.97419999999999995
105,0.98619999999999997
106,0.97599999999999998
107,1.0742
108,1.2313000000000001
109,1.2561
110,1.2446999999999999
111,1.2544999999999999
112,1.2522
113,1.2881
114,1.3466
115,1.3523000000000001
116,1.3445
117,1.3483000000000001
118,1.349
119,1.3472999999999999
120,1.3482000000000001
121,1.3512999999999999
122,1.3400000000000001
123,1.3489
124,1.3952
125,1.2225999999999999
126,0.93320000000000003
127,0.90680000000000005
128,0.93710000000000004
129,0.93710000000000004
130,0.98709999999999998
131,0.77639999999999998
132,0.4209
133,0.38590000000000002
134,0.43680000000000002
135,0.41980000000000001
136,0.41860000000000003
137,0.42409999999999998
138,0.42370000000000002
139,0.42480000000000001
140,0.42399999999999999
141,0.42199999999999999
142,0.42399999999999999
143,0.42709999999999998
144,0.42759999999999998
